ID,anio,mes,Sexo,Edad,region,PEA,Desempleo,Salario
116351,2022,1,1,72,1,0,0,0
116352,2022,1,2,74,1,0,0,0
116361,2022,1,1,42,1,1,0,238189.48
116362,2022,1,2,22,1,1,1,0
116363,2022,1,1,17,1,0,0,0
116371,2022,1,2,74,1,0,0,0
116381,2022,1,2,44,1,1,0,117275.33
116382,2022,1,1,49,1,1,0,230421.48
116391,2022,1,2,51,1,0,0,0
116392,2022,1,1,48,1,1,0,38389.48
116401,2022,1,2,65,1,0,0,0
116411,2022,1,1,74,1,0,0,0
116421,2022,1,1,39,1,1,0,153189.48
116422,2022,1,2,40,1,0,0,0
116431,2022,1,2,49,1,1,0,599000000000000
116432,2022,1,1,55,1,1,0,40000
116433,2022,1,2,15,1,0,0,0
116441,2022,1,1,62,1,0,0,0
116442,2022,1,2,63,1,0,0,0
116451,2022,1,2,82,1,0,0,0
116461,2022,1,1,72,1,0,0,0
116462,2022,1,2,67,1,0,0,0
116471,2022,1,1,36,1,1,0,278189.48
116472,2022,1,2,33,1,1,0,123972.48
116481,2022,1,2,50,1,0,0,0
116482,2022,1,1,54,1,1,0,213189.48
116483,2022,1,1,18,1,0,0,0
116484,2022,1,1,16,1,0,0,0
116491,2022,1,2,77,1,0,0,0
116501,2022,1,1,47,1,1,0,257000000000000
116502,2022,1,2,46,1,1,0,26189.48
116503,2022,1,2,15,1,0,0,0
116511,2022,1,2,53,1,1,0,150000
116512,2022,1,1,22,1,1,1,0
116513,2022,1,1,17,1,0,0,0
116521,2022,1,1,64,1,1,0,153189.48
116522,2022,1,2,57,1,1,0,123189.48
116523,2022,1,2,24,1,1,0,103189.48
116531,2022,1,1,63,1,0,0,0
116532,2022,1,2,61,1,0,0,0
116533,2022,1,1,93,1,0,0,0
116541,2022,1,2,57,1,1,0,0
116542,2022,1,1,62,1,1,0,103189.48
116543,2022,1,2,23,1,1,0,38000
116551,2022,1,1,62,1,1,0,97189.48
116561,2022,1,1,51,1,1,0,228189.48
116562,2022,1,2,46,1,1,0,93189.48
116563,2022,1,2,19,1,0,0,0
116564,2022,1,1,16,1,0,0,0
116571,2022,1,1,59,1,1,0,213189.48
116572,2022,1,2,55,1,0,0,0
116573,2022,1,1,24,1,1,1,0
116574,2022,1,2,23,1,1,0,38189.48
116575,2022,1,1,21,1,1,0,15000
116576,2022,1,2,19,1,0,0,0
116581,2022,1,2,68,1,0,0,0
116582,2022,1,1,69,1,1,0,270000
116591,2022,1,2,55,1,1,0,93000
116592,2022,1,1,23,1,1,0,25689.48
116593,2022,1,1,21,1,0,0,0
116594,2022,1,2,16,1,0,0,0
116601,2022,1,2,50,1,1,0,70585.48
116611,2022,1,2,59,1,1,0,278189.48
116621,2022,1,2,56,1,1,0,70189.48
116622,2022,1,1,57,1,1,0,98189.48
116623,2022,1,2,26,1,1,0,31629.48
116624,2022,1,2,24,1,1,0,32189.48
116631,2022,1,2,77,1,0,0,0
116641,2022,1,2,57,1,1,0,266250.78
116642,2022,1,1,52,1,1,0,123189.48
116651,2022,1,1,60,1,1,0,116189.48
116652,2022,1,2,61,1,0,0,88000
116661,2022,1,1,58,1,1,0,48189.48
116671,2022,1,2,43,1,1,0,89189.48
116681,2022,1,2,33,1,1,0,50189.48
116682,2022,1,1,38,1,1,0,66885.23
116691,2022,1,2,41,1,1,0,83189.48
116701,2022,1,1,49,1,1,0,33189.48
116702,2022,1,2,46,1,1,0,126250.78
116703,2022,1,2,16,1,0,0,0
116711,2022,1,2,63,1,1,0,2000
116712,2022,1,1,27,1,1,1,0
116721,2022,1,2,56,1,1,0,53189.48
116722,2022,1,1,57,1,1,0,3189.48
116723,2022,1,1,19,1,0,0,0
116731,2022,1,1,47,1,1,0,122689.48
116732,2022,1,2,45,1,1,0,73189.48
116741,2022,1,1,71,1,0,0,0
116742,2022,1,2,76,1,0,0,0
116751,2022,1,1,32,1,0,0,0
116761,2022,1,2,74,1,1,0,2500
116771,2022,1,1,60,1,0,0,0
116772,2022,1,2,61,1,0,0,0
116781,2022,1,1,66,1,1,0,6000
116791,2022,1,2,81,1,0,0,0
116801,2022,1,2,27,1,1,0,62783.88
116811,2022,1,1,49,1,1,1,0
116812,2022,1,2,44,1,1,0,32783.88
116813,2022,1,1,24,1,0,0,0
116814,2022,1,1,22,1,0,0,0
116821,2022,1,2,32,1,1,0,21189.48
116822,2022,1,1,32,1,1,0,22689.48
116831,2022,1,2,34,1,1,0,22689.48
116832,2022,1,1,32,1,1,0,20000
116841,2022,1,2,51,1,1,0,55189.48
116851,2022,1,1,41,1,1,0,23189.48
116861,2022,1,2,34,1,0,0,0
116862,2022,1,1,15,1,0,0,0
116864,2022,1,1,52,1,1,0,58189.48
116871,2022,1,1,36,1,1,0,53189.48
116872,2022,1,2,38,1,1,0,89189.48
116881,2022,1,1,27,1,1,0,42729.48
116882,2022,1,2,26,1,1,0,68189.48
116891,2022,1,2,67,1,1,0,33189.48
116892,2022,1,1,69,1,0,0,0
116901,2022,1,2,67,1,0,0,0
116902,2022,1,1,63,1,1,1,0
116903,2022,1,2,25,1,1,1,0
116904,2022,1,1,33,1,1,0,34000
116911,2022,1,2,64,1,1,0,80972.48
116912,2022,1,1,16,1,0,0,0
116921,2022,1,1,52,1,1,0,124189.48
116922,2022,1,2,45,1,1,0,3189.48
116923,2022,1,1,14,1,0,0,0
116931,2022,1,1,43,1,1,0,65189.48
116932,2022,1,2,40,1,0,0,0
116936,2022,1,2,78,1,0,0,0
116941,2022,1,2,54,1,1,1,0
116942,2022,1,1,23,1,1,0,41189.48
116943,2022,1,1,22,1,1,0,42000
116951,2022,1,1,68,1,0,0,0
116952,2022,1,2,52,1,1,0,53000
116961,2022,1,1,54,1,1,0,136189.48
116962,2022,1,2,58,1,1,0,158189.48
116963,2022,1,2,26,1,1,0,28302.68
116964,2022,1,2,22,1,0,0,0
116971,2022,1,2,57,1,0,0,0
116972,2022,1,1,60,1,0,0,0
116973,2022,1,2,83,1,0,0,0
116981,2022,1,1,50,1,1,0,87532.88
116982,2022,1,2,50,1,1,0,68189.48
116983,2022,1,2,14,1,0,0,0
116984,2022,1,1,18,1,0,0,0
116991,2022,1,1,76,1,0,0,0
117001,2022,1,2,56,1,1,0,83189.48
117002,2022,1,1,60,1,1,0,123189.48
117003,2022,1,1,25,1,0,0,0
117011,2022,1,2,44,1,1,0,55589.48
117012,2022,1,2,73,1,0,0,0
117021,2022,1,1,44,1,1,0,140189.48
117022,2022,1,2,40,1,1,0,198189.48
117031,2022,1,1,50,1,1,0,203189.48
117032,2022,1,2,46,1,1,0,173189.48
117033,2022,1,2,16,1,0,0,0
117041,2022,1,1,57,1,1,0,143189.48
117042,2022,1,2,56,1,1,0,20000
117043,2022,1,1,15,1,0,0,0
117051,2022,1,2,52,1,1,0,23189.48
117052,2022,1,1,55,1,1,0,298911.84
117053,2022,1,2,24,1,1,1,0
117054,2022,1,1,21,1,1,0,5000
117061,2022,1,2,84,1,0,0,0
117071,2022,1,1,61,1,1,0,83189.48
117072,2022,1,2,59,1,0,0,0
117073,2022,1,2,24,1,1,0,71689.48
117081,2022,1,1,84,1,0,0,0
117082,2022,1,2,80,1,0,0,0
117091,2022,1,1,62,1,0,0,0
117092,2022,1,2,60,1,0,0,0
117093,2022,1,1,24,1,1,0,53000
117101,2022,1,2,57,1,1,0,43189.48
117111,2022,1,2,59,1,1,0,29502.76
117121,2022,1,1,50,1,1,0,30000
117122,2022,1,2,79,1,0,0,0
117131,2022,1,1,62,1,0,0,0
117132,2022,1,2,62,1,1,0,65189.48
117133,2022,1,1,26,1,1,1,0
117141,2022,1,2,41,1,1,0,36689.48
117142,2022,1,1,43,1,1,0,93189.48
117143,2022,1,1,14,1,0,0,0
117151,2022,1,1,77,1,0,0,0
117152,2022,1,2,64,1,0,0,0
117161,2022,1,2,74,1,0,0,0
117171,2022,1,2,37,1,1,0,22489.48
117173,2022,1,2,19,1,1,1,0
117181,2022,1,2,36,1,1,0,20000
117182,2022,1,1,16,1,0,0,0
117191,2022,1,1,59,1,1,0,47189.48
117201,2022,1,2,24,1,0,0,0
117202,2022,1,1,24,1,1,0,3000
117211,2022,1,1,59,1,1,0,488000000000000
117221,2022,1,1,55,1,0,0,0
117231,2022,1,2,48,1,1,0,71189.48
117232,2022,1,1,49,1,1,0,3189.48
117233,2022,1,2,21,1,1,1,0
117234,2022,1,2,17,1,0,0,0
117241,2022,1,2,36,1,1,0,35189.48
117242,2022,1,1,37,1,1,0,58489.48
117251,2022,1,2,57,1,1,0,90614.76
117252,2022,1,2,19,1,1,1,0
117261,2022,1,1,75,1,1,0,23500
117262,2022,1,2,68,1,1,0,0
117263,2022,1,1,41,1,0,0,0
117271,2022,1,1,71,1,0,0,0
117272,2022,1,2,75,1,0,0,0
117273,2022,1,1,34,1,1,1,0
117281,2022,1,1,82,1,0,0,0
117282,2022,1,2,80,1,0,0,0
117291,2022,1,2,72,1,0,0,0
117301,2022,1,2,69,1,0,0,0
117311,2022,1,1,44,1,1,0,18000
117312,2022,1,2,38,1,0,0,0
117313,2022,1,1,17,1,0,0,0
117321,2022,1,1,79,1,0,0,0
117331,2022,1,1,42,1,1,0,72189.48
117332,2022,1,2,40,1,1,0,68189.48
117333,2022,1,2,20,1,0,0,0
117334,2022,1,2,17,1,1,0,7859.28
117341,2022,1,2,50,1,1,0,52889.48
117342,2022,1,1,26,1,1,0,14189.48
117343,2022,1,2,17,1,0,0,0
117351,2022,1,1,76,1,0,0,0
117361,2022,1,2,36,1,1,1,0
117362,2022,1,1,34,1,1,0,313000000000000
117363,2022,1,1,18,1,1,1,0
117371,2022,1,2,64,1,1,0,52189.48
117372,2022,1,1,45,1,1,0,32189.48
117381,2022,1,2,25,1,1,0,45189.48
117382,2022,1,1,23,1,1,0,39189.48
117391,2022,1,2,50,1,1,0,36189.48
117401,2022,1,2,74,1,0,0,0
117411,2022,1,2,25,1,1,0,37189.48
117412,2022,1,1,26,1,1,0,20000
117421,2022,1,2,52,1,1,0,8000
117422,2022,1,2,52,1,1,0,7000
117431,2022,1,1,70,1,0,0,0
117432,2022,1,2,75,1,0,0,0
117441,2022,1,2,44,1,0,0,0
117442,2022,1,1,44,1,1,0,125189.48
117444,2022,1,1,14,1,0,0,0
117451,2022,1,2,34,1,1,0,3189.48
117452,2022,1,1,35,1,1,0,103189.48
117453,2022,1,1,14,1,0,0,0
117461,2022,1,2,67,1,0,0,0
117462,2022,1,1,65,1,1,0,0
117471,2022,1,1,41,1,1,0,94389.48
117472,2022,1,2,36,1,1,1,0
117481,2022,1,2,30,1,1,1,0
117482,2022,1,1,30,1,1,0,62189.48
117491,2022,1,2,57,1,0,0,0
117492,2022,1,1,57,1,1,0,43189.48
117493,2022,1,1,17,1,0,0,0
117501,2022,1,2,47,1,1,0,54189.48
117502,2022,1,2,19,1,1,1,0
117511,2022,1,1,54,1,1,0,3189.48
117512,2022,1,2,86,1,0,0,0
117521,2022,1,2,33,1,1,0,50189.48
117522,2022,1,2,66,1,0,0,0
117523,2022,1,1,31,1,1,0,43189.48
117531,2022,1,2,34,1,1,0,3189.48
117532,2022,1,1,29,1,1,1,0
117541,2022,1,2,19,1,0,0,0
117542,2022,1,1,20,1,1,0,29189.48
117543,2022,1,1,22,1,1,0,48189.48
117544,2022,1,2,53,1,1,0,28689.48
117551,2022,1,2,60,1,0,0,0
117552,2022,1,1,37,1,1,0,27189.48
117561,2022,1,2,32,1,0,0,0
117562,2022,1,1,41,1,1,0,20189.48
117571,2022,1,2,39,1,1,0,7000
117572,2022,1,1,33,1,0,0,0
117573,2022,1,2,18,1,0,0,0
117574,2022,1,1,14,1,0,0,0
117581,2022,1,2,22,1,0,0,0
117582,2022,1,1,22,1,1,0,25783
117591,2022,1,2,60,1,1,0,9600
117592,2022,1,1,30,1,1,0,4000
117601,2022,1,2,46,1,1,0,29389.48
117602,2022,1,1,17,1,0,0,0
117603,2022,1,2,19,1,1,0,42783.88
117611,2022,1,1,47,1,1,0,56000
117612,2022,1,1,71,1,0,0,0
117621,2022,1,1,18,1,1,0,26972.48
117622,2022,1,2,21,1,1,0,33189.48
117631,2022,1,1,79,1,1,0,37189.48
117641,2022,1,2,79,1,0,0,0
117651,2022,1,2,31,1,1,0,70189.48
117652,2022,1,1,36,1,1,0,58189.48
117661,2022,1,2,52,1,1,0,62189.48
117671,2022,1,1,77,1,0,0,0
117672,2022,1,1,39,1,1,0,53189.48
117681,2022,1,2,37,1,1,0,859000000000000
117682,2022,1,1,40,1,1,0,64189.48
117691,2022,1,1,72,1,1,0,93189.48
117692,2022,1,2,70,1,0,0,0
117693,2022,1,1,37,1,1,0,93189.48
117701,2022,1,2,71,1,0,0,0
117711,2022,1,2,46,1,1,0,60189.48
117712,2022,1,2,21,1,0,0,0
117721,2022,1,2,47,1,1,0,131000
117722,2022,1,1,16,1,0,0,0
117731,2022,1,1,51,1,1,0,173189.48
117732,2022,1,2,43,1,1,0,51378.96
117741,2022,1,1,63,1,0,0,0
117742,2022,1,2,61,1,1,0,154689.48
117751,2022,1,2,69,1,0,0,0
117752,2022,1,1,68,1,0,0,0
117753,2022,1,1,36,1,0,0,0
117761,2022,1,2,35,1,1,0,123889.48
117762,2022,1,1,37,1,1,0,78189.48
117771,2022,1,2,64,1,0,0,0
117781,2022,1,2,57,1,1,0,51189.48
117791,2022,1,2,56,1,1,0,18189.48
117792,2022,1,1,49,1,1,0,53189.48
117793,2022,1,1,15,1,0,0,0
117801,2022,1,1,53,1,1,0,35189.48
117811,2022,1,2,39,1,1,0,100189.48
117812,2022,1,1,41,1,1,0,63189.48
117813,2022,1,1,15,1,0,0,0
117821,2022,1,2,58,1,1,0,3189.48
117831,2022,1,2,63,1,1,0,60189.48
117841,2022,1,1,24,1,1,0,35000
117842,2022,1,2,46,1,1,0,41189.48
117851,2022,1,1,38,1,1,0,120189.48
117852,2022,1,2,41,1,1,0,3189.48
117861,2022,1,2,53,1,1,0,125189.48
117862,2022,1,1,58,1,1,0,108189.48
117863,2022,1,1,25,1,1,0,48189.48
117864,2022,1,2,22,1,1,0,25689.48
117871,2022,1,2,76,1,0,0,0
117881,2022,1,1,39,1,1,0,108189.48
117882,2022,1,2,37,1,1,0,153189.48
117891,2022,1,1,35,1,1,0,16189.48
117892,2022,1,2,42,1,1,0,87189.48
117901,2022,1,2,30,1,1,0,83189.48
117911,2022,1,1,51,1,1,0,130189.48
117912,2022,1,2,55,1,1,0,10689.48
117913,2022,1,1,20,1,0,0,0
117914,2022,1,2,14,1,0,0,0
117921,2022,1,2,68,1,0,0,0
117931,2022,1,2,50,1,1,0,48400
117941,2022,1,1,74,1,0,0,0
117942,2022,1,2,60,1,0,0,0
117951,2022,1,2,68,1,1,0,79989.48
117961,2022,1,2,60,1,1,0,55189.48
117971,2022,1,1,54,1,1,0,415000000000000
117972,2022,1,2,59,1,1,0,349000000000000
117973,2022,1,1,26,1,1,0,63189.48
117974,2022,1,2,25,1,1,0,18189.48
